category,database,error_count,experiment_id,observed_signals,status,subtype,task_count
slow_sql,dbmags_tpcc_base,0,E01_missing_index,task=slow-sql-missing-index; anomaly=missing_index; executed=true,completed,missing_index,1
slow_sql,dbmags_tpcc_base,1,E02_excessive_index,,failed,excessive_index,0
slow_sql,dbmags_tpcc_base,0,E03_implicit_conversion,task=slow-sql-implicit-conversion; anomaly=implicit_conversion; executed=true,executed_but_not_validated,implicit_conversion,1
slow_sql,dbmags_tpcc_base,0,E04_multi_table_join,task=slow-sql-multi-table-join; anomaly=multi_table_join; executed=true,completed,multi_table_join,1
slow_sql,dbmags_tpcc_base,0,E05_order_by,task=slow-sql-order-by; anomaly=order_by; executed=true,executed_but_not_validated,order_by,1
slow_sql,dbmags_tpcc_base,0,E06_group_by,task=slow-sql-group-by; anomaly=group_by; executed=true,executed_but_not_validated,group_by,1
slow_sql,dbmags_tpcc_base,0,E07_large_table_scan,task=slow-sql-large-table-scan; anomaly=large_table_scan; executed=true,executed_but_not_validated,large_table_scan,1
traffic_surge,dbmags_tpcc_base,0,E08_single_sql,task=traffic-single-sql; anomaly=single_sql; executed=true,completed,single_sql,1
traffic_surge,dbmags_tpcc_base,0,E09_overall_workload,task=traffic-overall-workload; anomaly=overall_workload; executed=true,completed,overall_workload,1
resource_bottleneck,dbmags_tpcc_base,0,E10_cpu,task=resource-cpu; anomaly=cpu; executed=true,completed,cpu,1
resource_bottleneck,dbmags_tpcc_base,0,E11_io,task=resource-io; anomaly=io; executed=true,completed,io,1
resource_bottleneck,dbmags_tpcc_base,1,E12_network,task=resource-network; anomaly=network,partial_failure,network,1
resource_bottleneck,dbmags_tpcc_base,0,E13_memory,task=resource-memory; anomaly=memory; executed=true,completed,memory,1
resource_bottleneck,dbmags_tpcc_base,1,E14_disk,task=resource-disk; anomaly=disk,partial_failure,disk,1
lock_conflict,dbmags_tpcc_copy,1,E15_record_lock,task=lock-record-lock; anomaly=record_lock,partial_failure,record_lock,1
lock_conflict,dbmags_tpcc_copy,1,E16_table_lock,task=lock-table-lock; anomaly=table_lock,partial_failure,table_lock,1
lock_conflict,dbmags_tpcc_copy,1,E17_metadata_lock,task=lock-metadata-lock; anomaly=metadata_lock,partial_failure,metadata_lock,1
database_backup,dbmags_tpcc_copy,2,E18_database_table_backup,task=backup-orders; anomaly=database_table_backup,partial_failure,database_table_backup,1
