experiment_id,category,subtype,database,status,task_count,errors
slow_sql-missing_index,slow_sql,missing_index,dbmags_tpcc_base,completed,1,
slow_sql-excessive_index,slow_sql,excessive_index,dbmags_tpcc_base,partial_failure,1,"(1061, ""Duplicate key name 'idx_agent_excessive_index_c1'"") | (1061, ""Duplicate key name 'idx_agent_excessive_index_c2'"") | (1061, ""Duplicate key name 'idx_agent_excessive_index_c3'"")"
slow_sql-implicit_conversion,slow_sql,implicit_conversion,dbmags_tpcc_base,executed_but_not_validated,1,
slow_sql-multi_table_join,slow_sql,multi_table_join,dbmags_tpcc_base,completed,1,
slow_sql-order_by,slow_sql,order_by,dbmags_tpcc_base,executed_but_not_validated,1,
slow_sql-group_by,slow_sql,group_by,dbmags_tpcc_base,executed_but_not_validated,1,
slow_sql-large_table_scan,slow_sql,large_table_scan,dbmags_tpcc_base,executed_but_not_validated,1,
traffic_surge-single_sql,traffic_surge,single_sql,dbmags_tpcc_base,completed,1,
traffic_surge-overall_workload,traffic_surge,overall_workload,dbmags_tpcc_base,completed,1,
resource_bottleneck-cpu,resource_bottleneck,cpu,dbmags_tpcc_base,completed,1,
resource_bottleneck-io,resource_bottleneck,io,dbmags_tpcc_base,completed,1,
resource_bottleneck-network,resource_bottleneck,network,dbmags_tpcc_base,partial_failure,1,"step failed: {'kind': 'shell', 'command': '.tools/chaosblade-1.8.0-darwin_arm64/blade create network delay --time 5000 --offset 1000 --interface eth0 --local-port 3306', 'database': 'dbmags_tpcc_base'}"
resource_bottleneck-memory,resource_bottleneck,memory,dbmags_tpcc_base,completed,1,
resource_bottleneck-disk,resource_bottleneck,disk,dbmags_tpcc_base,partial_failure,1,"step failed: {'kind': 'shell', 'command': '.tools/chaosblade-1.8.0-darwin_arm64/blade create disk fill --path /home --size 40000', 'database': 'dbmags_tpcc_base'}"
lock_conflict-record_lock,lock_conflict,record_lock,dbmags_tpcc_copy,partial_failure,1,"(1049, ""Unknown database 'dbmags_tpcc_copy_copy'"")"
lock_conflict-table_lock,lock_conflict,table_lock,dbmags_tpcc_copy,partial_failure,1,"(1049, ""Unknown database 'dbmags_tpcc_copy_copy'"")"
lock_conflict-metadata_lock,lock_conflict,metadata_lock,dbmags_tpcc_copy,partial_failure,1,"(1049, ""Unknown database 'dbmags_tpcc_copy_copy'"")"
database_backup-database_table_backup,database_backup,database_table_backup,dbmags_tpcc_copy,partial_failure,1,"(1049, ""Unknown database 'dbmags_tpcc_copy_copy'"") | (1049, ""Unknown database 'dbmags_tpcc_copy_copy'"")"
