anomaly_confirmed,category,comparison_status,confirmation_reason,database,error_count,experiment_id,observed_signals,status,subtype,task_count
True,slow_sql,completed,post SQL is slower than baseline control SQL and EXPLAIN shows slow-path evidence,dbmags_tpcc_base,0,E01_missing_index,task=slow-sql-missing-index; anomaly=missing_index; executed=true,completed,missing_index,1
False,slow_sql,completed,redundant-index workload did not show enough write overhead compared with the control table,dbmags_tpcc_base,0,E02_excessive_index,task=slow-sql-excessive-index; anomaly=excessive_index; executed=true,executed_but_not_validated,excessive_index,1
True,slow_sql,completed,implicit-conversion SQL is slower than the typed control SQL and EXPLAIN captured degraded access,dbmags_tpcc_base,0,E03_implicit_conversion,task=slow-sql-implicit-conversion; anomaly=implicit_conversion; executed=true,executed_but_not_validated,implicit_conversion,1
True,slow_sql,completed,the wider join is slower than the two-table control join,dbmags_tpcc_base,0,E04_multi_table_join,task=slow-sql-multi-table-join; anomaly=multi_table_join; executed=true,completed,multi_table_join,1
False,slow_sql,completed,order-by probe did not show both slowdown and filesort evidence,dbmags_tpcc_base,0,E05_order_by,task=slow-sql-order-by; anomaly=order_by; executed=true,executed_but_not_validated,order_by,1
True,slow_sql,completed,group-by query is slower than the aggregate control and EXPLAIN shows temporary/filesort work,dbmags_tpcc_base,0,E06_group_by,task=slow-sql-group-by; anomaly=group_by; executed=true,executed_but_not_validated,group_by,1
True,slow_sql,completed,large-table scan is slower than the point lookup control and EXPLAIN shows scan-heavy access,dbmags_tpcc_base,0,E07_large_table_scan,task=slow-sql-large-table-scan; anomaly=large_table_scan; executed=true,executed_but_not_validated,large_table_scan,1
False,traffic_surge,completed,"post workload changed throughput, but latency did not rise together with it",dbmags_tpcc_base,0,E08_single_sql,task=traffic-single-sql; anomaly=single_sql; executed=true,completed,single_sql,1
False,traffic_surge,completed,"post workload changed throughput, but latency did not rise together with it",dbmags_tpcc_base,0,E09_overall_workload,task=traffic-overall-workload; anomaly=overall_workload; executed=true,completed,overall_workload,1
True,resource_bottleneck,completed,resource injection succeeded and workload degraded under the same probe,dbmags_tpcc_base,0,E10_cpu,task=resource-cpu; anomaly=cpu; executed=true,completed,cpu,1
True,resource_bottleneck,completed,io injection succeeded and the workload probe degraded,dbmags_tpcc_base,0,E11_io,task=resource-io; anomaly=io; executed=true,completed,io,1
False,resource_bottleneck,environment_blocked,network injection is blocked in the current environment (likely platform or iptables dependency),dbmags_tpcc_base,1,E12_network,task=resource-network; anomaly=network,partial_failure,network,1
True,resource_bottleneck,completed,memory injection succeeded and the workload probe degraded,dbmags_tpcc_base,0,E13_memory,task=resource-memory; anomaly=memory; executed=true,completed,memory,1
True,resource_bottleneck,completed,disk injection succeeded and the workload probe degraded,dbmags_tpcc_base,0,E14_disk,task=resource-disk; anomaly=disk; executed=true,completed,disk,1
True,lock_conflict,completed,the same SQL waited much longer when the row-lock holder was active,dbmags_tpcc_copy,0,E15_record_lock,task=lock-record-lock; anomaly=record_lock; executed=true,completed,record_lock,1
True,lock_conflict,completed,the read probe waited much longer while the WRITE lock was held,dbmags_tpcc_copy,0,E16_table_lock,task=lock-table-lock; anomaly=table_lock; executed=true,completed,table_lock,1
True,lock_conflict,completed,the ALTER TABLE probe waited much longer while a metadata lock holder was active,dbmags_tpcc_copy,0,E17_metadata_lock,task=lock-metadata-lock; anomaly=metadata_lock; executed=true,completed,metadata_lock,1
False,database_backup,completed,backup table creation did not complete or the copied row counts did not match,dbmags_tpcc_copy,0,E18_database_table_backup,task=backup-orders; anomaly=database_table_backup; executed=true,completed,database_table_backup,1
